name,age,email,address
mike,24,mike@random.com,berlin
jenny,21,jenny@random.com,berlin
bob the builder,23,bob@random.com,berlin
wrecked ralph,29,ralph@random.com,berlin
lila,51,lila@random.com,berlin
monet,86,monet@random.com,berlin
orange rose,5,rose@random.com,berlin
las vegas,239,vegas@random.com,berlin
berlin,784,berlin@random.com,berlin
little tim,10,tim@random.com,berlin
nanna,45,nann@random.com,berlin
paul,27,paul@random.com,berlin
kira,23,kira@random.com,berlin
baby,0,baby@random.com,berlin
austin,25,austin@random.com,berlin

